id,bangla_question,english_question
1,25 kg ভরের বস্তুর গতিশক্তি 450 J হলে বেগ কত?,What is the velocity if the kinetic energy of an object with mass 25 kg is 450 J?
2,একটি বস্তু 40 m/s বেগে চলছে। 8 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 40 m/s velocity. In how much time will it stop with a deceleration of 8 m/s²?
3,একটি প্রোটনের ভর 9.11×10⁻³¹ kg হলে এর শক্তি কত eV?,If the mass of a proton is 9.11×10⁻³¹ kg; what is its energy in eV?
4,একটি বস্তু 70 m/s বেগে চলছে। 2 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 70 m/s velocity. In how much time will it stop with a deceleration of 2 m/s²?
5,44 kg ভরের একটি গাড়ি 55 m/s বেগে চলছে এবং 18 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 44 kg is moving at 55 m/s velocity and decreases to 18 m/s. What is the change in momentum and change in kinetic energy?
6,একটি তরঙ্গের ফেজ ভিন্নতা ৩৬০° হলে তরঙ্গগুলোর সম্পর্ক কী?,What is the relationship between waves if the phase difference of a wave is 360°?
7,150 N বল প্রয়োগে একটি বস্তু 20 m সরলে কৃত কাজ কত?,What is the work done when an object moves 20 m by applying a force of 150 N?
8,16 g NaOH এবং 76 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 84% ফলন পেলে প্রকৃত ফলন কত?,16 g NaOH and 76 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 84% yield is obtained?
9,হাইড্রোজেন পরমাণুর প্রথম শক্তি স্তর কত?,What is the first energy level of a hydrogen atom?
10,একটি ২০০ কিলোগ্রাম ভারের বস্তুকে ১৯ m/s² ত্বরণে চালানোর জন্য প্রয়োজনীয় বল কত?,What is the required force to move an object of 200 kg mass with an acceleration of 19 m/s²?
11,33 g NaOH এবং 69 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 80% ফলন পেলে প্রকৃত ফলন কত?,33 g NaOH and 69 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 80% yield is obtained?
12,850 kg ভরের একটি গাড়ি সমবেগে গতি করছে। গাড়িটির উপর ক্রিয়াশীল নিট বল কত?,An 850 kg car is moving at a constant velocity. What is the net force acting on the car?
13,একটি হাইড্রোলিক প্রেসে ছোট পিস্টনে বল প্রয়োগ করা হলো। পিস্টন দুটির ব্যাসদ্বয়ের অনুপাত 5:1 হলে বড় পিস্টনে 50 N কত বলে অনুভুত হবে?,A force of 50 N is applied to the small piston of a hydraulic press. If the ratio of the diameters of the two pistons is 5:1; what force will be felt on the large piston?
14,একটি ৬০ মিটার উচ্চতা থেকে পাথর পড়লে সময় কত লাগবে?,How long will it take for a stone to fall from a height of 60 meters?
15,আলফা সেন্টোরাই মিল্কিওয়ে গ্যালাক্সি হতে কত আলোকবর্ষ দূরে রয়েছে?,How many light-years away is Alpha Centauri from the Milky Way galaxy?
16,উত্তল লেন্স কী করে?,What does a convex lens do?
17,একটি সমকোণী ত্রিভুজের ভূমি 8 cm এবং লম্ব 8 cm। কর্ণের দৈর্ঘ্য এবং ক্ষেত্রফল নির্ণয় করো।,A right triangle has base 8 cm and height 8 cm. Determine the length of hypotenuse and area.
18,28 kg ভরের একটি গাড়ি 25 m/s বেগে চলছে এবং 6 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 28 kg is moving at 25 m/s velocity and decreases to 6 m/s. What is the change in momentum and change in kinetic energy?
19,48 g NaOH এবং 60 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 85% ফলন পেলে প্রকৃত ফলন কত?,48 g NaOH and 60 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 85% yield is obtained?
20,A ⃗ = 3i ̂ + 4j ̂ এবং B ⃗ = 4i ̂ – 3j ̂ হলে A ⃗ . B ⃗ এর মান কত?,If A ⃗ = 3i ̂ + 4j ̂ and B ⃗ = 4i ̂ – 3j ̂; what is the value of A ⃗ . B ⃗?
21,30 kg ভরের একটি গাড়ি 42 m/s বেগে চলছে এবং 22 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 30 kg is moving at 42 m/s velocity and decreases to 22 m/s. What is the change in momentum and change in kinetic energy?
22,47 kg ভরের একটি গাড়ি 68 m/s বেগে চলছে এবং 13 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 47 kg is moving at 68 m/s velocity and decreases to 13 m/s. What is the change in momentum and change in kinetic energy?
23,একটি 33 Ω রোধের মধ্য দিয়ে 22 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 33 Ω at 22 V potential and how much power will be dissipated?
24,চাঁদে g এর মান পৃথিবীর কত অংশ?,The value of g on the Moon is what fraction of that on Earth?
25,একটি দ্বিঘাত সমীকরণ 2x² + 0x + -128 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 2x² + 0x + -128 = 0 and verify the sum and product of the roots.
26,পর্যায় সারণির 13 নং গ্রুপের মৌলের যোজ্যতা ইলেকট্রন কতটি?,How many valence electrons do elements of group 13 in the periodic table have?
27,RADAR কোন তরঙ্গ ব্যবহার করে?,What wave does RADAR use?
28,অডিটরিয়ামের কতজন ঢুকছেন বা বের হচ্ছেন তা গণনার জন্য স্বয়ংক্রিয় যন্ত্রে নিচের কোনটি ব্যবহৃত হয়?,Which of the following is used in the automatic device for counting the number of people entering or leaving an auditorium?
